node_id	sequence_md5	identifier	identifier_all	accession	accession_all	enzyme_name	enzyme_name_all	organism	pazy_id	pazy_id_all	sequence_length	n_source_rows	v1_component	cath
v056	0c75d9f81ae52914a609ec24d4c68ea2			SAY37587.1	SAY37587.1	PHL-51	PHL-51	Compost metagenome			257	1	1	3.40.50.1820
v057	f5ac2c525370f659e6c1b4fc71e16ce1			SAY37589.1	SAY37589.1	PHL-61	PHL-61	Compost metagenome			257	1	1	3.40.50.1820
v058	1361228bf3f1c19ea8214555076414a7			SHM40309.1	SHM40309.1	CaPETase	CaPETase	Cryptosporangium aurantiacum			299	1	1	3.40.50.1820
v059	6cfa5991a1358a2618da129bb29a2d1c			SUD16364.1	SUD16364.1	PbauzCut	PbauzCut	Halopseudomonas bauzanensis			298	1	1	3.40.50.1820
v060	fe08eef9c8f87d7d57af2914ff906b14			OK558824	OK558824	PLE628	PLE628	Marinobacter sp.			316	1	1	3.40.50.1820
v061	15938ddd57d7448aa110a9139193c91b			OK558825	OK558825	PET12; PbCut; SbCut; AAW51_2473	PET12; PbCut; SbCut; AAW51_2473	Caldimonas brevitalea			307	1	1	3.40.50.1820
v062	d1aa8fa7800d986fee5acab07614bd0d			WAU86704.1	WAU86704.1	PET40	PET40	Amycolatopsis bacterium			263	1	1	3.40.50.1820
v063	81f568dbaa464c36246be059cfa19188			Ipet	Ipet	GlacPETase	GlacPETase	Pseudomonas sp.			282	1	1	3.40.50.1820
v064	aa2b99b06ee80b2a22d650e6f32f1c1e			WOR09923	WOR09923	SIBER-1	SIBER-1	Microbispora sp.			257	1	1	3.40.50.1820
v065	a0904c35f59716a292ebfca5adfcbc0e			WP_013858543.1	WP_013858543.1	HG-4	HG-4	Heyndrickxia coagulans			254	1	1	3.40.50.1820
v066	2cd5f487f5114193eaf1c99806f6ef63			A0A031MKR8	A0A031MKR8	PsCut	PsCut	Pseudomonas saudimassiliensis			302	1	1	3.40.50.1820
v067	e6cfd2897ec399a6f1d3ec1c6a98cdb7			WP_039353427	WP_039353427	PET30	PET30	Kaistella (Chryseobacterium) jeonii			366	1	1	3.40.50.1820
v068	42aa40364f5684f1f255819ab69b7b92			A0A078MGG8	A0A078MGG8	PmC	PmC	Pseudomonas  mendocina ATCC 53552			302	1	1	3.40.50.1820
v069	d78ca54fff3eddbc5a27aec8c337f94f			WP_058088494.1	WP_058088494.1	AdCut	AdCut	Acidovorax delafieldii			279	1	1	3.40.50.1820
v070	1197ee1b96f74dd16a31dad1ba334c46			WP_062195544.1	WP_062195544.1	Enzyme 406	Enzyme 406	Comamonadaceae bacterium			292	1	1	3.40.50.1820
v071	325634c8b48334249f0532c897258e2e			WP_068824797.1	WP_068824797.1	jmPE14	jmPE14	Pseudomonas sp. JM16B3			297	1	1	3.40.50.1820
v072	ef08656ab980fbd8c17fe79b6060a681			WP_078759821.1	WP_078759821.1	MtCut; Enzyme 606	MtCut; Enzyme 606	Marinactinospora thermotolerans			311	1	1	3.40.50.1820
v073	677a11fa0e32fbd01338ba6d30fc718b			WP_082414832.1	WP_082414832.1	Enzyme 405	Enzyme 405	Actinobacteria bacterium OK074			302	1	1	3.40.50.1820
v074	1e1f498fae0e6d56fb87a52a1fef96ff			WP_083947829.1	WP_083947829.1	Enzyme 711	Enzyme 711	Thermobifida cellulosilytica			284	1	1	3.40.50.1820
v075	31e8cee08e99636ef7d35f9f5457bb57			WP_085749238.1	WP_085749238.1	RgPETase; RgCut-I	RgPETase; RgCut-I	Rhizobacter gummiphilus NS21			279	1	1	3.40.50.1820
v076	b96e3838fee9bee7a9d7d7d57eda9386			A0A1H6AD45	A0A1H6AD45	PpelaLip	PpelaLip	Pseudomonas pelagia DSM 25163			304	1	1	3.40.50.1820
v077	de58930843f53b731bc34d03f729488d			WP_090538641.1	WP_090538641.1	Hfor_PE-H	Hfor_PE-H	Halopseudomonas formosensis			304	1	1	3.40.50.1820
v078	4f68c367317a6c09df48faffc017ad9e			WP_093412886.1	WP_093412886.1	Enzyme 611	Enzyme 611	Saccharopolyspora flava			293	1	1	3.40.50.1820
v079	ef0ce8fcf0fe89871330b7d41cec0e7b			WP_101893509.1	WP_101893509.1	Enzyme 409	Enzyme 409	Ketobacter sp.			283	1	1	3.40.50.1820
v080	e125fba23d29946317aa25973b8c03cb			WP_104613137.1	WP_104613137.1	Enzyme 701	Enzyme 701	Thermobifida fusca			301	1	1	3.40.50.1820
v081	41ec3fae20c0008c7ca666cd96974233			WP_107095481.1	WP_107095481.1	Enzyme 607	Enzyme 607	Actinobacteria bacterium OV320			310	1	1	3.40.50.1820
v082	afb025038508228d84d2fe8c130d5d14			WP_111881932	WP_111881932	PET27	PET27	Aequorivita sp. CIP111184			364	1	1	3.40.50.1820
v083	fb68a33e966a9f713281583d4f5d357b			WP_117215036.1	WP_117215036.1	Enzyme 407	Enzyme 407	Allorhizocoloa rhizosphaerae			434	1	1	3.40.50.1820
v084	d03a36b0671215d716f1df2ade24268f			WP_118011433	WP_118011433	HG-2	HG-2	Holdemanella biformis			259	1	1	3.40.50.1820
v085	7acde97244b13e14de682a6f3f3def1e			YNP18_240440	YNP18_240440	Enzyme 204 like	Enzyme 204 like	Metagenome			258	1	1	3.40.50.1820
v086	c51ea9e72ca4f046ba7b615cdd6e1bc0			Ipet	Ipet	jmPE13	jmPE13	Pseudomonas sp. JM16B3			273	1	1	3.40.50.1820
v087	25535d4836a01c7d3cc4bbeba3c18437			XCO66867	XCO66867	PurH	PurH	Aeromicrobium sp.			286	1	1	3.40.50.1820
v088	2ddc62c97241531aed04530538ae54d8			XDS72785.1	XDS72785.1	Sis	Sis	Geothermal metagenome			282	1	1	3.40.50.1820
v089	ee0092b4288da1c69a59e16f2b702cdf			ACC95208.1	ACC95208.1	PET2; lipIAF5-2	PET2; lipIAF5-2	Metagenome			308	1	1	3.40.50.1820
v090	fcafc8f695c58e71718b19c1a7c315ba			N20M5AZM016	N20M5AZM016	PE-H; B7O88_11480	PE-H; B7O88_11480	Halopseudomonas aestusnigri VGXO14			258	1	20	3.40.50.1820
v091	0ac767e72406f2fc0cf50fd9008e6f16			A0A291HVH1	A0A291HVH1	LP175	LP175	Laceyella sacchari			385	1	21	3.40.50.1820
v092	c119a9b5c297563dbef710cd0dfbaa94			P00780	P00780	Subtilisin; subC	Subtilisin; subC	Lederbergia (Bacillus) licheniformis			379	1	21	3.40.50.1820
v093	3ccbadd7e660120a138f6df238b1b9ae			P06873	P06873	Proteinase K	Proteinase K	Parengyodontium album			384	1	21	3.40.50.1820
v094	c2dc98ad498bf96179a52733ac69516e			P29599	P29599	Subtilisin BL	Subtilisin BL	Lederbergia (Bacillus) lentus			269	1	21	3.40.50.1820
v095	5353a76b2d62b148881304e276a3a0e0			P29600	P29600	Subtilisin; Savinase	Subtilisin; Savinase	Lederbergia (Bacillus) lentus			269	1	21	3.40.50.1820
v096	6501b0257cf940e7d8aa9266fd92aaa1			GU116480	GU116480	PURase	PURase	Microbacterium hydrocarbonoxydans			283	1	22	3.40.50.1820
v097	2952634441666dbdb22a48ce9cde12c5			CEE00769.1	CEE00769.1	Est8_89	Est8_89	Caldibacillus thermoamylovorans			266	1	22	3.40.50.1820
v098	85933cc8711bcbd2db56860adfb2fd54			Chen, 2024	Chen, 2024	phaZ-like	phaZ-like	Cuprivadus necator ATC17699			276	1	22	3.40.50.1820
v099	b8d2efe3a6d76dcf58f691a374d528ed			ADH43200.1	ADH43200.1	BsEstB	BsEstB	Bacillus subtilis 4P3-11			489	1	23	3.40.50.1820
v100	de7fd3cae353ad8fabd922f83140376c			AKJ87216	AKJ87216	GEN0105	GEN0105	Metagenome			322	1	23	3.40.50.1820
v101	de5188fe17cc9552eecfc6b69179e19d			ALS54749.1	ALS54749.1	Chath_Est1	Chath_Est1	Clostridium hathewayi DSM-13479			520	1	23	3.40.50.1820
v102	e49911a7e5738e9056e9fb9c5a9aa7ae			BAA76305.1	BAA76305.1	PudA	PudA	Comamonas acidovorans TB-35			548	1	23	3.40.50.1820
v103	23af3c0ada6021e4452780933588e6da			YNPsite06_CeleraDRAFT_263770	YNPsite06_CeleraDRAFT_263770	Enzyme 101 like	Enzyme 101 like	Metagenome			613	1	23	3.40.50.1820
v104	f0ef5b5426c1171b0f229df593d4d810			P20261	P20261	Lip1; Lip5	Lip1; Lip5	Diutina (Candida) rugosa			549	1	23	3.40.50.1820
v105	b9431762171b80707139661059a4d5f3			A0A2I2K6T5	A0A2I2K6T5	CE_Ubrb	CE_Ubrb	Metagenome-derived			295	1	23	3.40.50.1820
v106	572db808330016b2e517a2e6db0d8477			UNZ81746	UNZ81746	IS10	IS10	Chloroflexi bacterium			314	1	23	3.40.50.1820
v107	63f3bcdf9d4e41b30836917c8f069d43			UNZ81748	UNZ81748	IS12	IS12	Chloroflexi bacterium			318	1	23	3.40.50.1820
v108	f768e32a79d0b17b006886911c31b36d			WID88783.1	WID88783.1	Dkca1	Dkca1	Dietzia kunjamensis			462	1	23	3.40.50.1820
v109	2aefc1d9f667923f2f590677c9bd72d3			YNP6_02150	YNP6_02150	Enzyme 102 like	Enzyme 102 like	Metagenome			565	1	23	3.40.50.1820
v110	fe1766a388c03c1e83be5dd8c749ba4b			L0EF70	L0EF70	Tcca	Tcca	Thermobacillus composti KWC4			508	1	23	3.40.50.1820
v111	8f7ceab2fc48801f9eff4ec96dd6b2b3			WP_041847557.1	WP_041847557.1	Est18_23	Est18_23	Caldibacillus thermoamylovorans			491	1	23	3.40.50.1820
v112	81a9df90765d3ca5a2dbd97ac8fe0e4f			AKJ87264	AKJ87264	MGS0156	MGS0156	Metagenome			421	1	24	3.40.50.1820
v113	f21de0ea2dcb603946ac9638d3076b59			AKZ20828.1	AKZ20828.1	Cbotu_EstA	Cbotu_EstA	Clostridium botulinum ATCC3502			452	1	25	3.40.50.1820
v114	a4cafac901140b6b19f1c384d078b5d5			AKZ20829.1	AKZ20829.1	Cbotu_EstB	Cbotu_EstB	Clostridium botulinum ATCC3502			400	1	25	3.40.50.1820
v115	970357e6455a991c27de46edeee96a39			AB302136; A4UZ10	AB302136; A4UZ10	PlaM4 depolymerase	PlaM4 depolymerase	Metagenome			431	1	25	3.40.50.1820
v116	bfc457646ef92b3c1ed060f134602fba			A4UZ11	A4UZ11	PlaM5 depolymerase	PlaM5 depolymerase	Metagenome			419	1	25	3.40.50.1820
v117	a436d17bdfc2c17a51007a01c569dc7a			EIW29778.1	EIW29778.1	PFL1	PFL1	Pelosinus fermentans DSM-17108			402	1	25	3.40.50.1820
v118	7f7526ac0c7c4c8440ba6812322c88d5			WP_108898452.1	WP_108898452.1	Lip4_120	Lip4_120	Caldibacillus thermoamylovorans			417	1	25	3.40.50.1820
v119	067e281972e92f24fb345ef6c8870caa			APJ12152.1	APJ12152.1	LipMRD9	LipMRD9	Bacillus safensis			215	1	26	3.40.50.1820
v120	cbe6e6c036ad8643698609d6a197ff5d			Q83VDO	Q83VDO	PLaA	PLaA	Paenibacillus amylolyticus TB13			201	1	26	3.40.50.1820
v121	11448cbf80389c1a758d8dfcba90907c			A0A1E1FNX8	A0A1E1FNX8	PBATHBp	PBATHBp	Bacillus pumilus			215	1	26	3.40.50.1820
v122	d39f4e4eb5bc5b5de87a6807337446ec			B2NHN2	B2NHN2	PHAase	PHAase	Talaromyces funiculosus			339	1	27	3.40.50.1820
v123	46e18f09ca1ffe3e4eda0f6cae364c1e			A0A080NJE8	A0A080NJE8	PhaZCac	PhaZCac	Commamonas acidivorans YM1609			734	1	28	3.40.50.1820
v124	f972c4fe64b984d09a783a3fcdfb3199			Q0K9H3	Q0K9H3	PhaY1	PhaY1	Cuprivadus necator ATC17699			718	1	28	3.40.50.1820
v125	9779282f44f5947a072f15c26945d21a			O82950	O82950	PhaZst	PhaZst	Pseudomonas stutzeri			576	1	29	3.40.50.1820
v126	61a4ab03c350b74dc8e27682811b973f			P94146	P94146	PhaZAfa	PhaZAfa	Alcaligenes faecalis			635	1	30	3.40.50.1820
v127	6012a802711a9bb008ee0895a518a5a0			Q51871	Q51871	PhaZ5	PhaZ5	Paucimonas lemoignei			433	1	30	3.40.50.1820
v128	c96dbeb66cbc47f7911296f991cdfb8d			Q0JYJ1	Q0JYJ1	PhaZ7	PhaZ7	Cuprivadus necator ATC17699			365	1	31	3.40.50.1820
v129	4b02a9379189f4f3f4a6d2b07ad427c9			Q0JZG9	Q0JZG9	PhaZ6	PhaZ6	Cuprivadus necator ATC17699			362	1	31	3.40.50.1820
v130	ab6b2d53513cc127c20db4ff15e7a322			Q0VLQ1	Q0VLQ1	ABO2449, esterase	ABO2449, esterase	Alcanivorax borkumensis			305	1	32	3.40.50.1820
v131	15317ec096461afae2a6111e17b27633			Q0KBZ6	Q0KBZ6	PhaY2	PhaY2	Cuprivadus necator ATC17699			293	1	33	3.40.50.1820
v132	085add734f10d1917f9638347ab618d2			Q939Q9	Q939Q9	PhaZ7	PhaZ7	Paucimonas lemoignei			380	1	34	3.40.50.1820
v133	9d30a8d3a59a8932a82976151ee0fdf1			GxsBSedJan11_10251181	GxsBSedJan11_10251181	Enzyme 305 like	Enzyme 305 like	Metagenome			335	1	35	3.40.50.1820
v134	5a880c3b46d61fb2b4fa713a243c511a			WP_010659881.1	WP_010659881.1	dsPETase06	dsPETase06	Pseudomonadota bacterium			352	1	35	3.40.50.1820
v135	263a6865371a5e0924e53280192fa035			WP_034767800.1	WP_034767800.1	Ces19_14	Ces19_14	Caldibacillus thermoamylovorans			240	1	36	3.40.50.1820
v136	e5a559b306f8a40b94d6844216b41307			WP_041846030.1	WP_041846030.1	Est11_32	Est11_32	Caldibacillus thermoamylovorans			256	1	37	3.40.50.1820
v137	4c93b29cd359ce02e9f06d853bb00619			WP_085690612	WP_085690612	MG8	MG8	Pseudomonas sp.			218	1	38	3.40.50.1820
v138	228edba5269227f472a446139a646369			WP_108898647.1	WP_108898647.1	Ces39_5	Ces39_5	Caldibacillus thermoamylovorans			249	1	39	3.40.50.1820
v139	e0b91bc8063c1c7e94e918fcfd8cf2bc			A0A075B5G4	A0A075B5G4	HiC	HiC	Humicola insolens			194	1	2	3.40.50.1820
v140	2faa60f73ded9c502787ece47fca13f7			A0A060N399	A0A060N399	PLAse	PLAse	Paraphoma sp. B47-9			227	1	2	3.40.50.1820
v141	ea7a24d47eff2487f1491b3ad67cce64			A0A060N5H2	A0A060N5H2	CmCut	CmCut	Cryptococcus magnus			226	1	2	3.40.50.1820
v142	4e42b62ac9f3158a2a5a2b35e117d950			A0A0P0ZE81	A0A0P0ZE81	GB-1; CLE	GB-1; CLE	Cryptococcus flavus			239	1	2	3.40.50.1820
v143	d46d1c755303a13d2a19d9393a49d2f7			AAA33335.1	AAA33335.1	FsC	FsC	Fusarium solani			230	1	2	3.40.50.1820
v144	cd3efa9108622a39c229634066ce0292			AB102945.1; Q874E	AB102945.1; Q874E	S-2; CLE; cutinase	S-2; CLE; cutinase	Cryptococcus sp.			239	1	2	3.40.50.1820
v145	339540f3809d8ac98ee633f1da7247e9			AB739034	AB739034	PaE; PaCLE1	PaE; PaCLE1	Pseudozyma (Candida) antarctica			224	1	2	3.40.50.1820
v146	255e2b78ca9f54fe397d3917c1c6cae9			A0A7I8E2Z4	A0A7I8E2Z4	PBATHRF; pbath	PBATHRF; pbath	Rhodococcus fascians NKCM2511			216	1	2	3.40.50.1820
v147	b316862d7118e4358cbe8bf6be6de118			ESK97883	ESK97883	MRCUT1	MRCUT1	Moniliophthora roreri			203	1	2	3.40.50.1820
v148	a0550530145e06d4170e283fb389aa62			X0BTD8	X0BTD8	FoCut5a	FoCut5a	Fusarium oxysporum			230	1	2	3.40.50.1820
v149	02048bc3dc3b8c853e51fcc55038f6ac			KAH7127633	KAH7127633	DmC	DmC	Dactylonectria macrodidyma			237	1	2	3.40.50.1820
v150	f7e864f6573eccaba6017448237af700			P52956	P52956	CutL1	CutL1	Aspergillus oryzae ATCC42149			213	1	2	3.40.50.1820
v151	dab2da810add966a777bb8c243da293b			Q99174	Q99174	FSC	FSC	Fusarium solani			230	1	2	3.40.50.1820
v152	a2dfe48912d34dabd9ec983f2380b945			QEX94755.1	QEX94755.1	Sub1	Sub1	Streptomyces scabiei			186	1	2	3.40.50.1820
v153	255e2b78ca9f54fe397d3917c1c6cae9			UNZ22463.1	UNZ22463.1	Rcut; PBATh; OL660765	Rcut; PBATh; OL660765	Rhodococcus sp.			216	1	2	3.40.50.1820
v154	0e841a3c1f59a0cfd7b1ac47b6e7b1bd			Cut	Cut	CpCut1-like	CpCut1-like	Cladosporium sp. P7			221	1	2	3.40.50.1820
v155	82b7aa41d984234dbb69f23c5dfebbb9			Cut	Cut	BaCut1-like	BaCut1-like	Blastobotrys sp. G-9			222	1	2	3.40.50.1820
v156	32320ea9636947aaaa29de601c9a9fa4			Q0K2G9	Q0K2G9	PhaZ5	PhaZ5	Cuprivadus necator ATC17699			407	1	3	3.40.50.1820
v157	f3019f8a82e15ef9ac9ed61f6a611c97			Q0K4D5	Q0K4D5	PhaZ3	PhaZ3	Cuprivadus necator ATC17699			412	1	3	3.40.50.1820
v158	8b6e9ddd1da10e1d0d3c47e2aeaaba85			Q0K7T2	Q0K7T2	PhaZ2	PhaZ2	Cuprivadus necator ATC17699			404	1	3	3.40.50.1820
v159	263b6d9cf1f73ddee6c8d0410fdaf229			Q0KCI0	Q0KCI0	PhaZ1	PhaZ1	Cuprivadus necator ATC17699			419	1	3	3.40.50.1820
